title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
The Red Beret,1953,Terence Young,88,55,2,3.1,0,1,2,6,5,12,2,0,0,0
Everyman's War,2009,Thad Smith,104,55,4,3.1,1,3,2,5,8,8,2,2,0,1
Liberation: The Fire Bulge,1970,Yuri Ozerov,88,52,5,3.4,0,1,1,0,2,12,3,10,1,2
Speer and Hitler,2005,Heinrich Breloer,270,72,7,3.4,0,0,2,1,2,9,6,11,2,1
The Better 'Ole,1926,Charles Reisner,95,47,2,3.2,0,0,0,3,10,16,1,2,0,0
The Battle of the Eagles,1979,Hajrudin Krvavac,130,85,5,3.1,0,1,3,8,6,9,3,2,1,2
Secret Mission,1942,Harold French,94,47,3,3.0,2,2,1,6,9,8,4,0,0,0
4 Days in May,2011,Achim von Borries,94,76,3,3.4,1,1,0,0,6,10,15,7,3,0
Baghdad Messi,2012,Sahim Omar Kalifa,19,83,7,3.4,1,0,0,2,5,9,16,8,0,2
08/15,1954,Paul May,103,68,3,3.4,0,1,1,0,5,7,6,9,0,3
Submarine X-1,1969,William A. Graham,89,50,6,3.0,1,1,5,8,6,4,1,1,0,0
Persona Non Grata,2015,Cellin Gluck,139,44,7,3.3,1,1,0,1,5,7,7,6,0,1
Lieutenant Natassa,1970,Nikos Foskolos,136,186,10,3.0,3,4,6,12,8,12,4,10,1,3
Soldiers Three,1951,Tay Garnett,92,60,9,3.2,0,0,1,3,8,12,9,1,0,0
Chosen,2016,Jasmin Dizdar,101,57,2,3.0,2,3,3,11,6,5,2,2,1,0
Uncovered: The War on Iraq,2004,,83,87,9,3.3,0,1,0,8,3,20,12,10,3,0
Blood Of Eagles,2010,"Conor Allyn,Yadi Sugandi",105,152,9,3.2,1,3,1,9,9,34,14,9,2,3
Number 55,2014,Kristijan Milić,90,69,8,3.4,0,3,1,2,7,7,7,14,1,5
The Monkey Fleet,1936,Manzo Miyashita,1,87,7,3.0,2,4,4,10,5,5,8,1,0,1
Gift Horse,1952,Compton Bennett,95,55,8,3.2,1,0,0,4,9,14,4,3,1,0
Stalin,2006,A.R. Murugadoss,168,157,13,3.1,0,5,2,8,16,27,10,7,0,2
Uncivil War Birds,1946,Jules White,18,98,15,3.2,2,1,4,4,8,11,10,5,2,5
Silence,2011,Sakari Kirjavainen,110,57,11,3.3,0,1,0,8,3,11,7,5,1,2
Owl Mountain,2018,Audrius Juzėnas,128,111,13,3.0,1,6,5,11,5,6,8,5,3,3
Burleska,1932,Jan Kučera,5,63,6,3.0,0,4,2,10,4,12,1,3,0,0
Kya Dilli Kya Lahore,2014,Vijay Raaz,98,61,13,3.4,0,0,0,1,4,16,15,7,2,2
Espionage Agent,1939,Lloyd Bacon,83,58,6,3.1,0,0,3,8,10,8,5,3,1,0
Pastorale 1943,1978,Wim Verstappen,125,47,3,3.4,0,0,0,0,7,7,11,6,0,0
Imitation General,1958,George Marshall,88,61,10,3.3,0,0,1,4,8,9,6,7,0,1
Embassy,2013,Juliusz Machulski,105,81,6,3.0,4,5,7,4,6,7,8,7,1,1
La Peur,2015,Damien Odoul,93,50,8,3.1,0,1,5,6,4,7,8,2,1,0
The Founding of an Army,2017,Andrew Lau,90,69,3,2.9,6,4,6,7,2,8,4,3,1,2
Battlefield Death Tales,2012,"James Eaves,Pat Higgins,Alan Ronald",87,44,0,2.7,7,6,3,6,4,4,0,0,0,0
December Heat,2008,Asko Kase,92,81,7,3.3,0,1,1,1,2,11,9,1,2,0
The Poet,2007,Damian Lee,96,82,3,3.0,3,6,4,5,4,6,1,2,2,1
The Man Who Captured Eichmann,1996,William A. Graham,96,70,4,3.2,0,0,0,6,7,10,8,1,0,1
Submarine Command,1952,John Farrow,87,57,7,3.1,0,2,1,4,7,11,5,1,0,0
Only The Brave,2006,Lane Nishikawa,99,61,3,2.9,1,2,7,11,8,8,3,1,0,0
National Theatre Live: War Horse,2014,Marianne Elliott,180,90,18,3.8,0,0,0,1,1,1,6,14,10,11
Afgan: The Soviet Experience,1989,Jeff B. Harmon,40,45,17,3.6,0,0,0,0,0,6,10,14,1,4
War Live,2000,Darko Bajić,101,84,7,3.4,0,0,1,2,3,13,4,5,3,1
The Day Will Dawn,1942,Harold French,98,55,4,3.1,0,1,0,8,12,9,4,1,1,0
Cafundó,2005,"Paulo Betti,Clovis Bueno",102,87,9,3.2,0,1,3,13,4,7,8,8,0,3
Los héroes del sitio de Zaragoza,1905,Segundo de Chomón,4,104,6,2.8,1,6,3,14,18,9,1,2,0,1
5th Day of Peace,1970,Giuliano Montaldo,103,53,3,3.2,0,0,1,6,6,8,3,4,0,0
The Long March,1950,Usmar Ismail,128,42,9,3.4,0,0,0,1,1,9,10,5,1,2
Team Fabulous 2,2012,Colin 'Kitty0706' Wyckoff,17,88,41,4.0,0,0,0,1,3,4,3,11,5,35
Battle of the Brave,2004,Jean Beaudin,143,88,4,2.9,1,7,2,14,12,4,2,3,0,1
The Chow Hound,1944,Frank Tashlin,3,103,6,3.0,1,6,1,9,9,12,5,6,0,1
The Four Feathers,1978,Don Sharp,100,91,13,3.2,1,0,0,6,11,18,10,3,1,0
Rojo y negro,1942,Carlos Arévalo,80,72,8,3.4,0,0,0,3,3,9,14,6,2,1
Frozen Silence,2011,Gerardo Herrero,106,85,9,3.0,1,2,2,11,19,16,12,1,1,0
Black Seed,1971,Kiril Cenevski,89,54,7,3.4,0,0,1,4,2,5,6,5,2,3
Cuirassiers à cheval,1896,Louis Lumière,1,131,10,2.9,5,3,2,6,11,9,2,3,0,1
Back from the Front,1943,Jules White,19,112,18,3.4,2,0,2,1,5,16,12,12,4,6
Light Up the Sky!,1960,Lewis Gilbert,90,53,9,3.2,0,1,3,5,9,14,7,6,1,0
Road to Berlin,2015,Sergei Popov,82,69,13,3.3,0,1,0,4,5,15,9,8,2,1
The Woman from Monte Carlo,1932,Michael Curtiz,70,48,4,3.0,0,0,3,14,7,7,2,0,0,0
West of Broadway,1931,Harry Beaumont,73,43,3,3.1,2,0,2,2,12,8,5,1,0,0
The Master Race,1944,Herbert J. Biberman,95,48,5,3.2,0,0,3,5,4,14,5,2,0,0
In August of 1944,2001,Mikhail Ptashuk,109,94,9,3.5,1,0,0,2,2,4,14,11,3,1
My Good Hans,2015,Alexandr Mindadze,111,64,8,3.4,0,3,0,2,4,13,4,4,5,5
Hitman the Cobra,1987,Godfrey Ho,90,60,5,2.8,9,6,3,6,3,3,3,0,0,2
Men Must Fight,1933,Edgar Selwyn,72,52,3,3.3,0,0,2,3,5,10,5,7,0,0
The Living and the Dead,2007,Kristijan Milić,87,46,1,3.1,1,1,0,6,6,10,2,1,1,0
A Foreign Field,1993,Charles Sturridge,95,65,10,3.4,0,0,0,3,1,10,10,9,1,0
Big Wars,1993,"Issei Kume,Toshifumi Takizawa",71,91,10,3.0,1,3,3,8,11,12,6,2,0,0
Eagles Fly Early,1966,Soja Jovanović,91,202,18,3.4,0,3,0,6,5,13,17,11,3,7
Clive of India,1935,Richard Boleslawski,94,59,5,3.1,0,2,3,7,8,7,6,2,1,0
The Last Reunion,1980,Jay Wertz,98,51,3,3.0,0,1,5,6,10,7,4,0,0,0
Carthage in Flames,1960,Carmine Gallone,105,63,4,3.0,1,2,4,5,9,7,0,0,0,0
The Law and the Fist,1964,"Jerzy Hoffman,Edward Skórzewski",90,45,13,3.5,0,0,0,0,2,3,11,11,4,1
Hallelujah Gretchen,1976,Sylvio Back,111,73,6,3.2,1,1,1,6,5,6,8,1,0,2
The Patrol,2013,Tom Petch,85,78,5,2.9,4,3,5,13,9,10,4,8,1,1
Fortress,2012,Mike Phillips,89,94,8,2.8,4,8,11,12,7,4,6,5,0,2
Cease Fire!,1953,Owen Crump,75,53,10,3.1,1,0,2,7,9,16,3,0,0,0
A Time of Destiny,1988,Gregory Nava,118,63,1,3.0,0,2,5,7,8,4,2,1,1,0
Forbidden Songs,1947,Leonard Buczkowski,97,77,9,3.5,0,1,1,3,0,11,17,9,3,7
200000 Phantoms,2007,Jean-Gabriel Périot,11,90,23,3.5,0,2,0,2,1,8,7,13,1,9
"You, John Jones!",1943,Mervyn LeRoy,11,92,12,3.1,0,2,3,10,9,13,3,3,0,3
March on the River Drina,1964,Živorad 'Žika' Mitrović,107,115,16,3.5,0,1,0,0,3,14,9,13,7,5
Pavilion of Women,2001,Yim Ho,116,96,2,2.9,1,4,5,11,7,19,3,0,0,1
Attack on the Iron Coast,1968,Paul Wendkos,89,74,9,3.0,1,1,1,18,8,9,4,1,0,1
Wartorn: 1861-2010,2010,"Jon Alpert,Ellen Goosenberg Kent",90,66,9,3.5,0,0,1,1,3,6,7,10,5,3
The Farm in the Small March,1976,Branko Bauer,126,90,11,3.5,0,0,0,1,3,7,7,4,1,8
Secret Agent,1947,Boris Barnet,88,50,2,3.3,0,0,0,1,5,11,7,3,0,1
Two Men Went To War,2002,John Henderson,109,109,5,3.2,1,3,4,9,7,19,12,12,2,5
The Game,1991,Abderrahmane Sissako,23,70,9,3.4,1,0,0,2,4,9,11,6,4,1
Daredevil in the Castle,1961,Hiroshi Inagaki,95,43,8,3.3,0,0,0,1,10,6,7,4,0,1
To the Hilt,2014,Stole Popov,165,65,3,3.1,0,1,2,9,6,10,7,3,1,0
Time Out,1998,Sergio Cabrera,120,63,7,3.3,0,0,1,2,6,7,11,5,0,2
Behind the Rising Sun,1943,Edward Dmytryk,88,53,2,3.1,1,0,0,11,9,5,4,1,2,0
The Last Indian Attack,1917,Alcides Greca,72,80,5,3.2,0,2,2,5,5,11,6,2,0,3
Lady from Chungking,1942,William Nigh,68,53,4,3.0,1,5,1,9,6,10,7,0,0,0
Warriors,2002,Daniel Calparsoro,96,127,10,3.0,0,3,5,8,18,22,17,4,1,0
San Demetrio London,1943,Charles Frend,104,46,4,3.2,0,1,0,2,5,16,6,2,0,0
Then I Sentenced Them All to Death,1972,Sergiu Nicolaescu,103,75,12,3.4,2,2,0,1,2,5,15,7,4,4
The Hunley,1999,John Gray,94,106,10,3.1,0,1,0,9,13,18,6,4,0,0
Cyrano de Bergerac,1923,Augusto Genina,113,58,8,3.3,1,2,0,2,2,13,4,9,0,3
Body of War,2007,"Phil Donahue,Ellen Spiro",87,80,6,3.4,0,0,1,2,6,10,9,14,4,2
Return from the River Kwai,1989,Andrew V. McLaglen,101,87,3,2.9,1,6,5,12,7,17,1,1,1,0
Counterpoint,1967,Ralph Nelson,106,64,8,3.2,0,0,2,5,6,11,6,3,0,1
"In the Meantime, Darling",1944,Otto Preminger,72,54,4,3.1,0,2,0,6,6,11,5,1,0,0
West Of Shanghai,1937,John Farrow,64,70,8,3.0,0,1,2,8,16,13,6,0,0,0
Churchill's Leopards,1970,Maurizio Pradeaux,88,45,2,3.0,1,3,5,3,9,6,4,1,0,0
Tobruk,2008,Václav Marhoul,99,74,4,3.1,0,1,1,6,13,19,9,3,0,1
Wunderland,2018,Steven Luke,85,63,3,2.5,14,10,8,7,6,3,2,0,0,0
Dead Horses,2016,"Anna Solanas,Marc Riba",7,84,9,3.3,0,3,1,1,7,12,7,6,1,4
I Will Fight No More Forever,1975,Richard T. Heffron,106,85,10,3.3,0,1,1,5,3,15,7,4,2,2
O.S.S.,1946,Irving Pichel,107,51,9,3.3,0,0,0,0,6,13,5,3,0,2
War Nurse,1930,Edgar Selwyn,81,68,11,3.2,0,1,0,3,10,13,4,5,0,0
All the Young Men,1960,Hall Bartlett,90,71,10,3.0,0,2,3,11,8,14,3,5,0,0
It Was In May,1970,Marlen Khutsiyev,110,63,7,3.5,0,0,0,3,4,7,13,10,4,4
Cyborgs,2017,Akhtem Seitablaiev,112,94,9,3.2,2,3,3,11,9,14,8,17,1,4
The Seventh Bullet,1973,Ali Khamraev,79,51,6,3.4,0,0,1,1,3,3,7,8,0,0
"Mata Hari, agent H21",1964,Jean-Louis Richard,98,57,3,3.3,0,0,1,2,5,8,9,1,0,0
Soldiers of the Damned,2015,Mark Nuttall,99,66,6,2.7,6,12,4,9,3,6,3,1,0,1
Granito: How to Nail a Dictator,2011,Pamela Yates,80,63,10,3.4,0,0,0,2,6,9,6,8,0,5
All the King's Men,1999,Julian Jarrold,110,79,9,3.3,1,0,1,3,4,12,7,8,0,2
Torpedo Squadron,1942,John Ford,8,96,6,3.3,1,0,3,6,1,9,9,5,2,4
Gas,1944,Chuck Jones,3,120,9,2.9,1,4,6,15,8,11,5,4,1,2
In Love & War,2018,Kasper Torsting,135,90,2,2.8,0,7,8,15,16,10,4,3,1,0
The Deserter,1939,Léonide Moguy,85,47,6,3.5,0,0,0,0,0,5,17,2,3,0
All This Victory,2019,Ahmad Ghossein,93,72,8,3.2,0,1,1,10,8,15,11,4,0,2
Shooting War,2000,Richard Schickel,88,80,13,3.5,1,0,0,2,4,11,5,7,3,7
The Ground Truth,2006,Patricia Foulkrod,72,82,11,3.4,0,1,1,3,5,21,8,11,3,3
The Girl Who Stayed at Home,1919,D. W. Griffith,60,65,6,3.1,1,1,2,7,6,6,2,2,0,2
1944 The Final Defence,2007,"Åke Lindman,Sakari Kirjavainen",117,104,6,3.0,1,3,3,15,14,17,4,6,0,1
Roses à Crédit,2010,Amos Gitai,113,65,8,3.2,1,0,0,3,9,8,2,6,0,0
How I Unleashed World War II Part II: Following The Arms,1970,Tadeusz Chmielewski,72,127,18,3.7,0,0,0,1,0,8,21,19,9,8
Ghetto,2006,Audrius Juzėnas,110,89,9,3.1,1,2,4,10,3,8,10,4,1,3
Hell Below,1933,Jack Conway,101,61,9,3.3,0,0,1,2,7,11,11,5,1,0
God Is My Co-Pilot,1945,Robert Florey,90,60,8,3.1,1,3,1,4,8,15,1,3,0,0
Dangerous Moonlight,1941,Brian Desmond Hurst,94,75,10,3.2,1,1,0,4,11,16,10,6,1,1
The Thirteen,1937,Mikhail Romm,90,49,2,3.4,0,0,0,2,5,9,7,6,1,1
Lancaster Skies,2019,Callum Burn,98,73,3,2.7,8,6,9,13,6,6,4,1,1,1
You're in the Navy Now,1951,Henry Hathaway,93,84,7,3.1,0,1,2,10,9,10,10,2,0,1
Afghanistan: The Last War Bus,1989,Pierluigi Ciriaci,90,59,8,3.0,2,3,3,6,11,9,1,0,0,1
Faith of Our Fathers,2015,Carey Scott,96,89,3,2.4,18,13,5,10,2,7,4,2,0,1
Downtime,1995,"Keith Barnfather,Christopher Barry",65,64,13,3.1,1,1,1,7,10,18,5,3,0,0
Zombies Have Fallen,2017,Sam Hampson,75,58,1,2.7,10,10,3,4,2,0,2,2,0,3
"Good Times, Wonderful Times",1966,Lionel Rogosin,70,72,11,3.3,0,1,2,2,6,7,10,7,3,1
"Don't Look Back, My Son",1956,Branko Bauer,101,71,7,3.4,0,0,1,2,3,7,14,5,1,1
Advance to the Rear,1964,George Marshall,97,67,5,3.0,0,0,6,9,15,5,5,1,0,0
The Red Ball Express,1952,Budd Boetticher,83,71,6,3.3,0,1,0,2,7,10,10,1,0,1
Walk with Me,2016,Lisa Ohlin,105,82,7,3.3,0,1,0,7,9,18,6,10,1,2
Four Days of Snow and Blood,1989,Hideo Gosha,114,57,9,3.4,1,0,1,3,1,11,7,11,1,2
Eclipse of the Crescent Moon,1968,Zoltán Várkonyi,145,195,11,3.3,0,3,1,6,9,19,14,15,5,5
The Last Drop,2005,Colin Teague,103,116,2,2.6,5,9,6,19,15,6,2,0,0,0
Dangerously They Live,1941,Robert Florey,77,62,8,3.2,0,0,1,6,7,13,4,4,0,0
Fighter Squadron,1948,Raoul Walsh,96,73,9,3.2,1,0,1,7,6,14,6,5,1,0
Ah Boys To Men (Part 2),2013,Jack Neo,113,236,7,2.7,13,17,10,13,14,18,16,9,0,4
They Who Dare,1954,Lewis Milestone,107,84,9,3.0,0,2,2,5,18,17,1,2,0,0
Order No. 027,1986,"Ki Mo Jung,Eung Suk Kim",74,62,6,3.0,0,3,4,9,11,9,5,0,2,1
The Mark of Cain,2007,Marc Munden,87,102,7,3.2,3,3,1,3,11,17,6,13,2,2
The Raven,1977,Bahram Beizai,120,91,17,3.3,0,2,0,6,9,14,16,9,4,1
The Villa Complex Residents,2017,Munir Gheidi,90,237,13,2.4,20,24,12,13,17,24,5,6,0,3
Conspiracy of Hearts,1960,Ralph Thomas,113,57,7,3.4,0,1,0,1,3,9,18,9,3,1
Rogue Warfare,2019,Mike Gunther,103,89,4,2.3,21,21,5,11,3,5,1,3,1,1
Happy Land,1943,Irving Pichel,73,67,9,3.3,0,0,0,4,5,14,6,9,1,1
Black Fire,1986,Teddy Chiu,85,44,5,3.1,0,2,3,2,7,9,4,0,0,0
Captured!,1933,Roy Del Ruth,69,86,8,3.2,0,0,2,4,10,18,11,7,0,0
Junoon,1979,Shyam Benegal,141,76,12,3.4,1,1,0,1,1,9,9,10,4,0
My Honor Was Loyalty,2015,Alessandro Pepe,116,103,5,2.4,26,4,9,16,6,9,3,4,0,0
Jungle Assault,1989,David A. Prior,85,50,8,3.0,1,2,3,7,7,6,1,1,1,0
To Speak or Not to Speak,1970,Raoul Servais,10,91,17,3.4,1,0,2,3,5,4,12,10,5,3
Ace of Aces,1933,J. Walter Ruben,76,60,8,3.3,0,0,2,4,7,12,9,6,1,1
The Bamboo Blonde,1946,Anthony Mann,67,82,10,3.0,0,2,1,11,14,19,5,2,0,0
The Bridge,2008,Wolfgang Panzer,100,177,5,2.7,4,14,8,14,20,21,10,5,0,1
Our Own,2004,Dmitry Meskhiev,111,87,3,3.4,0,2,0,0,8,8,11,10,3,2
Frankie Starlight,1995,Michael Lindsay-Hogg,101,122,6,3.1,0,1,1,11,9,19,9,2,0,1
Battle of Kosovo,1989,Zdravko Šotra,117,205,13,3.2,0,1,1,16,6,22,16,10,5,4
Fury of Achilles,1962,Marino Girolami,118,61,10,3.2,1,1,0,4,8,11,5,7,0,1
Inside the Third Reich,1982,Marvin J. Chomsky,240,58,13,3.4,0,0,0,1,2,12,10,3,1,2
Wolf Children,2013,Rick Ostermann,91,91,5,3.4,0,0,1,7,4,16,10,13,2,4
The Walking Dead,1995,Preston A. Whitmore II,88,89,10,2.9,2,4,7,8,10,14,5,1,0,1
The Sea Shall Not Have Them,1954,Lewis Gilbert,91,73,8,3.1,1,0,1,8,9,18,6,3,0,0
Tower of Lilies,1953,Tadashi Imai,128,43,8,3.5,0,0,0,0,1,5,12,6,4,1
How I Unleashed World War II Part I: The Escape,1970,Tadeusz Chmielewski,86,123,18,3.6,0,0,0,1,0,8,18,22,7,5
Exiled,2016,Dāvis Sīmanis Jr.,100,118,15,3.3,3,1,1,8,8,11,19,12,5,2
Revolution: Crossing the Andes,2011,Leandro Ipiña,95,168,17,3.2,1,3,2,9,11,28,15,12,1,3
Ignatius of Loyola,2016,"Cathy Azanza,Paolo Dy",118,112,17,2.9,2,4,8,12,15,11,6,6,0,3
The Battle of El Alamein,1969,Giorgio Ferroni,96,63,5,3.1,0,2,2,8,11,8,7,1,1,0
Marriage Is a Private Affair,1944,Robert Z. Leonard,116,70,18,3.3,0,0,1,3,9,17,4,4,3,2
Memorial Day,2011,Sam Fischer,108,129,11,3.0,3,4,6,7,15,16,12,7,1,1
Go West,2005,Ahmed Imamović,96,76,4,3.3,0,1,1,3,3,13,7,2,3,0
Forbidden Dreams,1987,Karel Kachyňa,91,85,7,3.5,0,0,0,0,0,15,15,10,5,0
Destroyer,1943,William A. Seiter,99,86,12,3.1,0,0,3,11,8,16,7,6,1,1
"Retreat, Hell!",1952,Joseph H. Lewis,95,78,7,3.2,0,1,2,0,8,18,8,5,0,0
Cow,2009,Guan Hu,105,68,8,3.3,1,1,0,3,5,11,11,10,0,2
The Great King,1942,Veit Harlan,118,64,8,3.4,0,1,0,3,1,10,11,8,1,0
The Longest War,2020,Greg Barker,90,84,18,3.3,0,0,0,9,9,22,14,8,2,2
Yellow Canary,1943,Herbert Wilcox,95,83,14,3.2,1,1,1,8,10,14,14,7,1,0
The Good Soldier Švejk,1957,Karel Steklý,108,117,19,3.5,0,0,1,0,7,9,18,18,3,6
Sea Wife,1957,Bob McNaught,81,86,10,3.1,0,3,1,10,11,19,6,5,0,1
Sealed Cargo,1951,Alfred L. Werker,90,70,11,3.3,0,1,1,4,5,14,16,7,0,0
Weresquito: Nazi Hunter,2016,Christopher R. Mihm,78,59,12,3.1,2,5,1,3,10,11,5,5,1,2
The Butcher of Prague,2011,Petr Nikolaev,126,128,7,3.4,0,2,0,3,5,23,22,14,3,2
Tough to Kill,1979,Joe D'Amato,88,48,8,3.1,0,0,1,10,4,12,5,0,1,0
Picket 43,2015,Major Ravi,135,164,39,3.2,0,2,2,7,17,34,31,20,0,0
Grandpa's Great Escape,2018,Elliot Hegarty,64,149,17,2.9,9,9,3,14,9,21,9,12,3,4
The Shield and the Sword,1969,Vladimir Basov,344,62,11,3.6,0,0,0,1,1,7,9,12,1,5
Starship Troopers,1988,Tetsuro Amino,150,71,12,3.3,0,0,1,5,3,8,7,6,0,1
Kerala Varma Pazhassi Raja,2009,T Hariharan,197,208,37,3.4,0,3,3,4,6,27,28,27,6,3
The Spymasters: CIA in the Crosshairs,2015,"Gédéon Naudet,Jules Naudet",118,111,26,3.4,0,1,3,5,7,22,18,17,4,7
Mobile Suit Gundam: The 08th MS Team - Miller's Report,1998,"Umanosuke Iida,Takeyuki Kanda",51,144,21,3.2,1,1,3,14,10,18,14,10,1,5
Underground,1941,Vincent Sherman,95,77,14,3.4,0,1,0,2,7,19,14,15,1,2
One Minute to Zero,1952,Tay Garnett,105,86,7,3.0,1,2,3,10,13,13,1,2,0,0
5 Branded Women,1960,Martin Ritt,115,56,5,3.2,0,2,0,6,8,9,3,3,1,0
Two Thousand Women,1944,Frank Launder,97,70,15,3.3,0,1,0,2,9,13,11,6,1,1
Britannic,2000,Brian Trenchard-Smith,93,148,9,2.6,4,14,4,25,14,15,3,2,0,1
A Bright Shining Lie,1998,Terry George,118,111,4,3.1,2,0,2,8,6,20,10,6,0,1
Ambush Bay,1966,Ron Winston,109,64,6,3.1,0,0,1,9,10,11,1,0,0,1
Het Bombardement,2012,Ate de Jong,100,162,5,2.3,17,22,11,14,17,9,0,4,1,0
Destination Gobi,1953,Robert Wise,90,75,9,3.2,1,0,1,3,8,24,8,2,0,1
King Petar of Serbia,2018,Petar Ristovski,125,92,16,3.4,0,2,2,3,9,10,13,12,5,6
Judith,1966,Daniel Mann,109,49,3,3.1,0,4,1,5,7,4,3,0,1,2
Attention! Bandits!,1951,Carlo Lizzani,90,86,12,3.4,0,0,0,4,3,21,18,12,0,1
Higher Principle,1960,Jiří Krejčík,104,75,14,3.7,0,0,0,0,1,3,5,18,7,3
She Goes to War,1929,Henry King,50,64,12,3.3,0,3,0,4,5,9,5,3,2,4
The Dawns Here Are Quiet,2015,Renat Davletyarov,120,124,12,3.3,2,1,3,9,6,25,14,17,4,8
The Age of Consequences,2016,Jared P. Scott,80,83,15,3.4,0,0,0,7,7,10,9,17,4,3
After Tonight,1933,George Archainbaud,71,74,9,3.1,1,0,3,11,6,19,4,2,1,0
The Opium War,1997,Xie Jin,153,78,7,3.2,0,1,2,4,8,19,6,3,2,2
Oba: The Last Samurai,2011,Hideyuki Hirayama,128,93,7,3.1,0,1,6,11,7,17,9,7,2,1
The Fugitive,1910,D. W. Griffith,16,125,13,3.2,0,1,4,6,8,23,4,5,0,4
Possibility Zero,1969,Maurizio Lucidi,95,47,8,3.2,0,0,2,7,7,12,3,4,0,1
From Karkhe To Rhein,1993,Ebrahim Hatamikia,92,248,16,2.9,9,6,9,18,16,26,26,10,3,3
Into the Darkness,2020,Anders Refn,152,106,7,2.9,0,2,6,18,21,21,8,5,2,0
Macross Zero,2002,Shoji Kawamori,159,143,23,3.3,1,2,3,6,12,20,18,14,4,6
Tears of April,2008,Aku Louhimies,115,141,9,3.3,0,0,1,7,13,24,13,11,6,1
Shinsengumi Chronicles,1963,Kenji Misumi,93,63,8,3.3,0,0,1,1,1,17,16,5,0,0
Mamangam,2019,Padmakumar M,157,132,9,2.5,8,17,14,31,19,14,7,2,0,0
Summer Solstice,2015,Michal Rogalski,100,98,6,3.1,0,3,4,13,12,17,14,6,2,1
Raza,1942,José Luis Sáenz de Heredia,102,137,4,2.3,18,16,6,9,7,4,2,1,0,0
Journey to Shiloh,1968,William Hale,101,74,5,3.0,0,3,4,9,6,16,1,2,0,1
Stranded,2010,"Hugues Martin,Sandra Martin",100,101,6,2.9,1,1,11,9,17,18,6,0,0,0
Cold Tracks,1962,Arne Skouen,96,62,7,3.5,1,1,0,0,2,4,9,13,2,1
St. George Shoots the Dragon,2009,Srđan Dragojević,120,166,15,3.1,2,4,5,10,14,14,14,2,2,7
Swords and Hearts,1911,D. W. Griffith,17,138,5,3.0,0,2,9,6,19,17,10,3,0,2
The Coward,1915,"Thomas H. Ince,Reginald Barker",77,89,7,3.1,0,2,4,5,18,19,7,5,1,0
Momotaro vs Mickey Mouse,1934,Komatsuzawa Hajime,8,132,9,3.0,3,4,3,9,11,20,6,8,0,0
Henri 4,2010,Jo Baier,155,101,6,3.0,2,1,3,9,14,12,8,4,1,0
Red & White,2009,Yadi Sugandi,108,250,18,3.1,0,6,3,13,17,50,29,17,3,4
Operation Amsterdam,1959,Michael McCarthy,104,87,9,3.3,0,1,0,5,7,18,16,5,2,1
LOC: Kargil,2003,J. P. Dutta,255,317,11,2.7,10,9,12,27,17,18,10,9,2,2
Scipio Africanus: The Defeat of Hannibal,1937,Carmine Gallone,83,60,3,3.1,1,1,2,6,7,6,5,0,0,0
Confirm or Deny,1941,Archie Mayo,74,61,4,3.2,0,1,1,6,8,6,6,3,0,0
The Silent Mountain,2014,Ernst Gossner,95,96,12,2.9,2,3,6,9,18,12,8,5,0,0
Beyond the Border,2011,Richard Holm,122,141,14,3.1,0,3,2,17,5,39,17,17,0,2
The Way of Peace,1947,Frank Tashlin,18,66,6,3.1,0,1,1,11,10,11,2,2,1,0
Babylon,1986,"Peter Lord,David Sproxton",15,117,29,3.6,0,0,0,1,3,10,18,15,13,4
Piagol,1955,Lee Kang-cheon,107,59,4,3.3,1,0,0,3,6,8,11,3,2,1
The Great Martian War 1913–1917,2013,Mike Slee,128,93,23,3.4,0,1,0,0,6,18,14,19,2,1
Battle Inferno,1959,Frank Wisbar,97,109,12,3.5,0,0,1,2,3,12,21,20,2,3
The Exit Room,2013,Todd Wiseman Jr.,10,72,12,3.3,0,1,1,7,5,12,11,10,0,2
Leave It on the Floor,2011,Sheldon Larry,105,72,4,3.0,0,3,4,9,8,10,4,2,1,1
Death Is Called Engelchen,1963,"Elmar Klos,Ján Kadár",111,49,6,3.4,0,0,0,2,3,7,10,4,5,1
Names in Marble,2002,Elmo Nüganen,95,212,22,3.4,0,1,2,5,10,24,17,17,2,10
Karamurat,1976,Natuk Baytan,88,449,10,2.7,10,10,7,23,17,34,2,5,3,2
I Got Plenty of Mutton,1944,Frank Tashlin,8,149,19,3.3,1,1,1,8,11,16,9,13,4,4
The Hook,1963,George Seaton,98,83,11,3.3,0,0,2,1,10,16,14,3,0,2
Our Girl,2013,David Drury,90,143,18,3.4,1,0,3,5,7,20,24,14,4,6
A Tale of Archery at the Sanjusangendo,1945,Mikio Naruse,77,72,14,3.4,0,0,1,2,7,11,11,9,3,0
Hell on the Battleground,1987,David A. Prior,82,67,8,3.0,0,6,4,8,8,1,3,2,2,3
Kill Zone,1993,Cirio H. Santiago,81,60,8,2.9,3,9,5,3,3,8,1,0,1,2
The Guns of Fort Petticoat,1957,George Marshall,82,118,18,3.1,0,3,1,10,17,19,13,6,2,2
Uncivil Warriors,1935,Del Lord,20,187,32,3.4,2,0,1,4,9,25,21,18,3,10
Mission of the Shark: The Saga of the U.S.S. Indianapolis,1991,Robert Iscove,100,108,8,3.0,1,1,4,4,17,20,4,1,0,1
